entry_time,exit_time,direction,entry_price,exit_price,pnl,size
2025-06-23 06:00:00+00:00,2025-06-23 18:00:00+00:00,SHORT,101874.632765625,103158.21922656249,-6.194608708307295,0.0044670145823631335
2025-06-23 19:00:00+00:00,2025-06-23 22:00:00+00:00,LONG,103401.470046875,105615.279,9.271495713277108,0.004397838693413789
2025-06-23 23:00:00+00:00,2025-06-24 19:00:00+00:00,SHORT,105493.1590546875,105710.89435156249,-1.3956115767043829,0.004314818398114466
2025-06-24 21:00:00+00:00,2025-06-25 10:00:00+00:00,SHORT,105943.590984375,107171.86167187498,-5.736526943152971,0.00429559994678193
2025-06-26 12:00:00+00:00,2025-06-27 08:00:00+00:00,LONG,107299.3562265625,106950.2786015625,-1.932846140513442,0.004238438317586447
2025-06-27 09:00:00+00:00,2025-06-28 05:00:00+00:00,LONG,107247.6326796875,107241.3153984375,-0.48141682839400834,0.004239369300101696
2025-06-28 07:00:00+00:00,2025-06-29 03:00:00+00:00,SHORT,107411.9726953125,107358.93136718748,-0.2298963950616109,0.004232447334553012
2025-06-29 05:00:00+00:00,2025-06-30 01:00:00+00:00,LONG,107449.41238281249,108452.2438828125,3.783809224377805,0.004230654052515237
2025-06-30 02:00:00+00:00,2025-06-30 08:00:00+00:00,LONG,108609.72778906248,107406.6655078125,-5.486919279550474,0.00418698916378413
2025-06-30 09:00:00+00:00,2025-07-01 05:00:00+00:00,LONG,107628.14562499999,106864.1460703125,-3.677147738398551,0.0042224147535358456
2025-07-01 06:00:00+00:00,2025-07-01 14:00:00+00:00,LONG,107024.33147656248,105833.2873359375,-5.504345591875396,0.004244306727220822
2025-07-01 15:00:00+00:00,2025-07-02 11:00:00+00:00,LONG,106149.82503124999,107399.4851953125,4.884839418233152,0.004276466404391613
2025-07-02 12:00:00+00:00,2025-07-02 15:00:00+00:00,SHORT,107334.6906796875,108904.06089062498,-7.101319899229455,0.0042313226261248265
2025-07-02 16:00:00+00:00,2025-07-03 12:00:00+00:00,SHORT,109373.6965078125,109291.56519531249,-0.11268750701757024,0.004148985956860604
2025-07-03 15:00:00+00:00,2025-07-04 11:00:00+00:00,LONG,109272.1238984375,108812.5785,-2.360153896156075,0.004152583392729702
2025-07-04 12:00:00+00:00,2025-07-04 15:00:00+00:00,LONG,108887.83374218749,107574.021421875,-5.921419734099969,0.004165946696008572
2025-07-04 16:00:00+00:00,2025-07-05 12:00:00+00:00,LONG,107759.91789062499,108073.2950859375,0.8636300313030556,0.004206593398128115
2025-07-05 16:00:00+00:00,2025-07-06 12:00:00+00:00,LONG,108239.95213281248,108117.3135234375,-0.9664351315008937,0.004188127088405411
2025-07-06 13:00:00+00:00,2025-07-07 09:00:00+00:00,SHORT,108785.4572109375,108945.3599609375,-1.120148434311169,0.00416647316015704
2025-07-07 10:00:00+00:00,2025-07-08 06:00:00+00:00,LONG,108809.68535937498,108188.5859296875,-3.0373550819725605,0.004164822425337877
2025-07-08 07:00:00+00:00,2025-07-09 03:00:00+00:00,SHORT,108367.414734375,108521.51466406249,-1.0978126437636435,0.00418020945119037
2025-07-09 05:00:00+00:00,2025-07-09 19:00:00+00:00,SHORT,108680.4841640625,111891.52974999999,-13.848188561046957,0.004167454296883937
2025-07-09 21:00:00+00:00,2025-07-10 16:00:00+00:00,SHORT,110857.5236953125,112813.61497656249,-8.439400047747249,0.004079162876524563
2025-07-11 02:00:00+00:00,2025-07-11 22:00:00+00:00,LONG,116803.28034374998,117498.97715625,2.2363020424089646,0.0038677108520812583
2025-07-12 05:00:00+00:00,2025-07-13 01:00:00+00:00,SHORT,117613.0582734375,117706.63592187499,-0.8117203973881859,0.003841839916534451
2025-07-13 02:00:00+00:00,2025-07-13 14:00:00+00:00,SHORT,117544.93115625,118872.36298437498,-5.558912245698691,0.0038435290998049486
2025-07-13 15:00:00+00:00,2025-07-14 03:00:00+00:00,SHORT,118613.033859375,120906.35588281248,-9.18948178522437,0.003806384625389756
2025-07-14 15:00:00+00:00,2025-07-15 01:00:00+00:00,LONG,119947.06160937498,118546.0774453125,-5.7134822071802835,0.003760031917173913
2025-07-15 02:00:00+00:00,2025-07-15 06:00:00+00:00,LONG,118426.65991406249,116900.8961484375,-6.251491899919012,0.003805701824235928
2025-07-15 07:00:00+00:00,2025-07-16 03:00:00+00:00,LONG,117020.97438281249,117375.9206484375,0.9143021130539766,0.003848553207026474
2025-07-16 04:00:00+00:00,2025-07-16 08:00:00+00:00,SHORT,117506.7740390625,118827.88104687499,-5.51903978791093,0.003832839825335991
2025-07-16 09:00:00+00:00,2025-07-17 05:00:00+00:00,SHORT,119001.925828125,118738.74512499999,0.546304839261812,0.0037821755314462547
2025-07-17 06:00:00+00:00,2025-07-18 02:00:00+00:00,LONG,118569.24767187498,120072.666515625,5.251206809184724,0.003796017870004917
