,entry_time,entry_price,position,size,stop_loss,take_profit,market_regime,volatility_pct,session,entry_type,exit_time,exit_price,pnl,return_pct,direction,volatility_state
174,2025-11-25 18:00:00+00:00,87572.1265,-1,0.09556984279479441,88048.31227797328,86619.75494405342,Neutral,1.02789919659103,NY,Mean Reversion,2025-11-25 19:15:00+00:00,86619.75494405342,91.01799988404822,1.0875281827792296,Short,Normal
175,2025-11-25 22:15:00+00:00,87120.719,-1,0.10883169300304171,87543.06003571428,86276.03692857143,Neutral,1.1252988308838485,Asia,Mean Reversion,2025-11-25 22:30:00+00:00,87543.06003571428,-45.96408994144382,-0.48477680230610326,Short,Normal
176,2025-11-25 22:45:00+00:00,87628.715,-1,0.11261199630623647,88034.83753571428,86816.46992857142,Neutral,1.1252988308838485,Asia,Mean Reversion,2025-11-26 01:30:00+00:00,88034.83753571428,-45.73426949173623,-0.46345828044412507,Short,Normal
177,2025-11-26 02:15:00+00:00,87772.823,1,0.12773224640346562,87416.56528571428,88485.33842857143,Neutral,1.1802488123110526,Asia,Mean Reversion,2025-11-26 03:30:00+00:00,87416.56528571428,-45.505598144278906,-0.40588612979409233,Long,Normal
178,2025-11-26 03:45:00+00:00,87088.83,1,0.13243067126417887,86746.92982142858,87772.63035714286,Neutral,1.187353574211856,Asia,Mean Reversion,2025-11-26 06:45:00+00:00,87772.63035714286,90.55614030711371,0.7851757305074099,Long,Normal
179,2025-11-26 08:45:00+00:00,87390.55,1,0.183543630931341,87141.39479574125,87888.86040851752,Neutral,0.7654922708471413,London,Mean Reversion,2025-11-26 09:15:00+00:00,87141.39479574125,-45.73085085509223,-0.28510543103202496,Long,Low
180,2025-11-26 12:45:00+00:00,86626.235,-1,0.16438701503628278,86903.03421428571,86072.63657142858,Neutral,0.6935847667701581,London,Mean Reversion,2025-11-26 13:30:00+00:00,86903.03421428571,-45.50219660081644,-0.31953277697652566,Short,Low
181,2025-11-26 13:45:00+00:00,87098.849,-1,0.1383866302913836,87426.00983571429,86444.52732857144,Neutral,0.7225422593300748,NY,Mean Reversion,2025-11-26 14:30:00+00:00,87426.00983571429,-45.274685617812594,-0.37562015970415774,Short,Low
182,2025-11-26 15:30:00+00:00,86851.12,-1,0.10735176557459863,87270.75270886699,86011.854582266,Neutral,0.7399664812768251,NY,Mean Reversion,2025-11-26 16:00:00+00:00,87270.75270886699,-45.048312189723255,-0.48316326705630647,Short,Low
183,2025-11-26 16:15:00+00:00,87548.25,-1,0.09667399546347577,88011.90178571429,86620.94642857143,Neutral,0.7802249166029834,NY,Mean Reversion,2025-11-26 17:15:00+00:00,88011.90178571429,-44.823070628775696,-0.5295957208902403,Short,Low
